"IncomeE","Majority","LUOF_logical","Income10k","White","Black","No_Majority","Latino","Decile"
111563,"White",0,11.1563,1,0,0,0,9
77803,"White",0,7.7803,1,0,0,0,7
109875,"White",0,10.9875,1,0,0,0,9
199186,"White",0,19.9186,1,0,0,0,10
54102,"No Majority",0,5.4102,0,0,1,0,4
46917,"No Majority",0,4.6917,0,0,1,0,3
110938,"White",0,11.0938,1,0,0,0,9
45903,"White",1,4.5903,1,0,0,0,3
89536,"White",0,8.9536,1,0,0,0,8
187010,"White",0,18.701,1,0,0,0,10
74583,"White",0,7.4583,1,0,0,0,7
67669,"White",0,6.7669,1,0,0,0,6
112982,"White",0,11.2982,1,0,0,0,9
74475,"Black",0,7.4475,0,1,0,0,7
72000,"White",0,7.2,1,0,0,0,7
126370,"White",0,12.637,1,0,0,0,10
"NA","No Majority",0,"NA",0,0,1,0,""
"NA","No Majority",0,"NA",0,0,1,0,""
"NA","No Majority",0,"NA",0,0,1,0,""
"NA","No Majority",0,"NA",0,0,1,0,""
"NA","No Majority",0,"NA",0,0,1,0,""
"NA","No Majority",0,"NA",0,0,1,0,""
35568,"No Majority",0,3.5568,0,0,1,0,2
23144,"Hispanic/Latino",1,2.3144,0,0,0,1,1
54706,"Hispanic/Latino",0,5.4706,0,0,0,1,4
43155,"White",0,4.3155,1,0,0,0,3
43750,"Hispanic/Latino",0,4.375,0,0,0,1,3
41026,"Hispanic/Latino",0,4.1026,0,0,0,1,2
29567,"Hispanic/Latino",0,2.9567,0,0,0,1,1
27146,"Hispanic/Latino",1,2.7146,0,0,0,1,1
40952,"No Majority",0,4.0952,0,0,1,0,2
58314,"No Majority",1,5.8314,0,0,1,0,5
41250,"Hispanic/Latino",0,4.125,0,0,0,1,2
51890,"White",0,5.189,1,0,0,0,4
56165,"Hispanic/Latino",0,5.6165,0,0,0,1,5
77375,"White",0,7.7375,1,0,0,0,7
122628,"White",0,12.2628,1,0,0,0,10
67500,"Hispanic/Latino",0,6.75,0,0,0,1,6
55565,"White",0,5.5565,1,0,0,0,4
64318,"Hispanic/Latino",0,6.4318,0,0,0,1,6
15150,"No Majority",0,1.515,0,0,1,0,1
67188,"No Majority",0,6.7188,0,0,1,0,6
31369,"White",0,3.1369,1,0,0,0,1
31434,"No Majority",0,3.1434,0,0,1,0,1
37791,"No Majority",0,3.7791,0,0,1,0,2
45000,"No Majority",0,4.5,0,0,1,0,3
52159,"No Majority",0,5.2159,0,0,1,0,4
41597,"No Majority",0,4.1597,0,0,1,0,2
53659,"No Majority",0,5.3659,0,0,1,0,4
45735,"No Majority",0,4.5735,0,0,1,0,3
52969,"Hispanic/Latino",0,5.2969,0,0,0,1,4
33506,"Hispanic/Latino",0,3.3506,0,0,0,1,1
30964,"White",0,3.0964,1,0,0,0,1
38681,"White",0,3.8681,1,0,0,0,2
47625,"White",0,4.7625,1,0,0,0,3
29979,"Hispanic/Latino",0,2.9979,0,0,0,1,1
22029,"Hispanic/Latino",0,2.2029,0,0,0,1,1
32386,"Hispanic/Latino",0,3.2386,0,0,0,1,1
"NA","No Majority",0,"NA",0,0,1,0,""
99947,"White",0,9.9947,1,0,0,0,9
26071,"No Majority",0,2.6071,0,0,1,0,1
26170,"Hispanic/Latino",0,2.617,0,0,0,1,1
"NA","Hispanic/Latino",0,"NA",0,0,0,1,""
27375,"No Majority",0,2.7375,0,0,1,0,1
33495,"No Majority",0,3.3495,0,0,1,0,1
50362,"White",0,5.0362,1,0,0,0,4
26017,"No Majority",0,2.6017,0,0,1,0,1
30500,"No Majority",0,3.05,0,0,1,0,1
45074,"No Majority",1,4.5074,0,0,1,0,3
32244,"Hispanic/Latino",0,3.2244,0,0,0,1,1
22297,"Hispanic/Latino",0,2.2297,0,0,0,1,1
26750,"Hispanic/Latino",1,2.675,0,0,0,1,1
32699,"Hispanic/Latino",1,3.2699,0,0,0,1,1
26761,"Hispanic/Latino",0,2.6761,0,0,0,1,1
38828,"Hispanic/Latino",0,3.8828,0,0,0,1,2
39306,"White",1,3.9306,1,0,0,0,2
40695,"Hispanic/Latino",1,4.0695,0,0,0,1,2
53482,"White",0,5.3482,1,0,0,0,4
48125,"Hispanic/Latino",0,4.8125,0,0,0,1,3
96111,"White",0,9.6111,1,0,0,0,9
102417,"White",0,10.2417,1,0,0,0,9
54943,"No Majority",0,5.4943,0,0,1,0,4
49878,"White",0,4.9878,1,0,0,0,4
52232,"Hispanic/Latino",0,5.2232,0,0,0,1,4
154886,"White",0,15.4886,1,0,0,0,10
60637,"Hispanic/Latino",0,6.0637,0,0,0,1,5
33878,"Hispanic/Latino",1,3.3878,0,0,0,1,1
84861,"White",0,8.4861,1,0,0,0,8
58885,"White",0,5.8885,1,0,0,0,5
43700,"No Majority",0,4.37,0,0,1,0,3
40169,"Hispanic/Latino",0,4.0169,0,0,0,1,2
35568,"Hispanic/Latino",0,3.5568,0,0,0,1,2
65156,"Hispanic/Latino",0,6.5156,0,0,0,1,6
44500,"White",1,4.45,1,0,0,0,3
44413,"White",0,4.4413,1,0,0,0,3
45449,"No Majority",0,4.5449,0,0,1,0,3
40429,"Hispanic/Latino",0,4.0429,0,0,0,1,2
56607,"White",0,5.6607,1,0,0,0,5
41028,"No Majority",1,4.1028,0,0,1,0,2
40192,"No Majority",0,4.0192,0,0,1,0,2
56646,"White",0,5.6646,1,0,0,0,5
62778,"White",0,6.2778,1,0,0,0,6
45827,"Hispanic/Latino",0,4.5827,0,0,0,1,3
54940,"White",1,5.494,1,0,0,0,4
24432,"No Majority",0,2.4432,0,0,1,0,1
39688,"Hispanic/Latino",0,3.9688,0,0,0,1,2
40694,"Hispanic/Latino",0,4.0694,0,0,0,1,2
40785,"Hispanic/Latino",0,4.0785,0,0,0,1,2
34313,"Hispanic/Latino",1,3.4313,0,0,0,1,1
49767,"Hispanic/Latino",0,4.9767,0,0,0,1,4
69153,"White",0,6.9153,1,0,0,0,6
73646,"White",0,7.3646,1,0,0,0,7
60750,"Hispanic/Latino",0,6.075,0,0,0,1,5
37619,"Hispanic/Latino",0,3.7619,0,0,0,1,2
31829,"Hispanic/Latino",0,3.1829,0,0,0,1,1
73600,"White",0,7.36,1,0,0,0,7
31237,"Hispanic/Latino",0,3.1237,0,0,0,1,1
28625,"Hispanic/Latino",0,2.8625,0,0,0,1,1
92388,"White",0,9.2388,1,0,0,0,8
31840,"No Majority",0,3.184,0,0,1,0,1
26298,"Hispanic/Latino",0,2.6298,0,0,0,1,1
28000,"No Majority",0,2.8,0,0,1,0,1
47500,"No Majority",0,4.75,0,0,1,0,3
79630,"No Majority",0,7.963,0,0,1,0,7
86458,"Hispanic/Latino",0,8.6458,0,0,0,1,8
77847,"Hispanic/Latino",0,7.7847,0,0,0,1,7
40768,"Hispanic/Latino",1,4.0768,0,0,0,1,2
24713,"No Majority",1,2.4713,0,0,1,0,1
92111,"Hispanic/Latino",0,9.2111,0,0,0,1,8
28889,"No Majority",1,2.8889,0,0,1,0,1
43625,"No Majority",0,4.3625,0,0,1,0,3
60526,"Hispanic/Latino",1,6.0526,0,0,0,1,5
36630,"Hispanic/Latino",0,3.663,0,0,0,1,2
27618,"No Majority",1,2.7618,0,0,1,0,1
46799,"No Majority",0,4.6799,0,0,1,0,3
56825,"Hispanic/Latino",0,5.6825,0,0,0,1,5
69130,"White",0,6.913,1,0,0,0,6
66355,"White",0,6.6355,1,0,0,0,6
47292,"Hispanic/Latino",0,4.7292,0,0,0,1,3
"NA","Hispanic/Latino",0,"NA",0,0,0,1,""
85417,"White",1,8.5417,1,0,0,0,8
31298,"Hispanic/Latino",0,3.1298,0,0,0,1,1
124844,"No Majority",0,12.4844,0,0,1,0,10
30214,"Hispanic/Latino",0,3.0214,0,0,0,1,1
40536,"Hispanic/Latino",0,4.0536,0,0,0,1,2
32222,"White",0,3.2222,1,0,0,0,1
26047,"White",0,2.6047,1,0,0,0,1
39728,"Hispanic/Latino",0,3.9728,0,0,0,1,2
49890,"White",0,4.989,1,0,0,0,4
77311,"No Majority",1,7.7311,0,0,1,0,7
41118,"Hispanic/Latino",0,4.1118,0,0,0,1,2
40481,"Hispanic/Latino",0,4.0481,0,0,0,1,2
67697,"White",0,6.7697,1,0,0,0,6
23292,"Hispanic/Latino",1,2.3292,0,0,0,1,1
44643,"No Majority",1,4.4643,0,0,1,0,3
"NA","Hispanic/Latino",0,"NA",0,0,0,1,""
91304,"White",1,9.1304,1,0,0,0,8
"NA","No Majority",0,"NA",0,0,1,0,""
30417,"No Majority",1,3.0417,0,0,1,0,1
40305,"No Majority",0,4.0305,0,0,1,0,2
"NA","Hispanic/Latino",0,"NA",0,0,0,1,""
44487,"Hispanic/Latino",0,4.4487,0,0,0,1,3
36500,"Hispanic/Latino",0,3.65,0,0,0,1,2
43941,"Hispanic/Latino",0,4.3941,0,0,0,1,3
31143,"Hispanic/Latino",0,3.1143,0,0,0,1,1
58601,"Hispanic/Latino",0,5.8601,0,0,0,1,5
32513,"Hispanic/Latino",1,3.2513,0,0,0,1,1
45761,"White",0,4.5761,1,0,0,0,3
32500,"White",0,3.25,1,0,0,0,1
50456,"Hispanic/Latino",0,5.0456,0,0,0,1,4
41708,"White",0,4.1708,1,0,0,0,2
28553,"Hispanic/Latino",0,2.8553,0,0,0,1,1
69063,"White",0,6.9063,1,0,0,0,6
39808,"Hispanic/Latino",1,3.9808,0,0,0,1,2
57005,"No Majority",0,5.7005,0,0,1,0,5
39000,"White",1,3.9,1,0,0,0,2
51103,"White",0,5.1103,1,0,0,0,4
31118,"Hispanic/Latino",1,3.1118,0,0,0,1,1
24788,"No Majority",0,2.4788,0,0,1,0,1
118704,"White",0,11.8704,1,0,0,0,10
48417,"Hispanic/Latino",0,4.8417,0,0,0,1,3
30646,"Hispanic/Latino",0,3.0646,0,0,0,1,1
114576,"White",0,11.4576,1,0,0,0,9
47863,"Hispanic/Latino",0,4.7863,0,0,0,1,3
60253,"No Majority",1,6.0253,0,0,1,0,5
22500,"No Majority",0,2.25,0,0,1,0,1
38070,"No Majority",0,3.807,0,0,1,0,2
57209,"Hispanic/Latino",1,5.7209,0,0,0,1,5
21659,"Hispanic/Latino",0,2.1659,0,0,0,1,1
34492,"Hispanic/Latino",1,3.4492,0,0,0,1,1
41679,"Hispanic/Latino",0,4.1679,0,0,0,1,2
50030,"White",1,5.003,1,0,0,0,4
47838,"White",0,4.7838,1,0,0,0,3
54375,"No Majority",0,5.4375,0,0,1,0,4
61907,"White",0,6.1907,1,0,0,0,5
56077,"No Majority",0,5.6077,0,0,1,0,5
37556,"White",0,3.7556,1,0,0,0,2
34219,"Hispanic/Latino",1,3.4219,0,0,0,1,1
33597,"White",0,3.3597,1,0,0,0,1
32569,"Hispanic/Latino",1,3.2569,0,0,0,1,1
24342,"Hispanic/Latino",1,2.4342,0,0,0,1,1
23546,"Hispanic/Latino",0,2.3546,0,0,0,1,1
47625,"Hispanic/Latino",0,4.7625,0,0,0,1,3
42637,"Hispanic/Latino",0,4.2637,0,0,0,1,2
85951,"Hispanic/Latino",0,8.5951,0,0,0,1,8
53650,"Hispanic/Latino",0,5.365,0,0,0,1,4
56325,"White",1,5.6325,1,0,0,0,5
39148,"White",0,3.9148,1,0,0,0,2
47957,"No Majority",0,4.7957,0,0,1,0,3
49678,"No Majority",1,4.9678,0,0,1,0,3
30546,"Hispanic/Latino",1,3.0546,0,0,0,1,1
46144,"No Majority",0,4.6144,0,0,1,0,3
55326,"No Majority",0,5.5326,0,0,1,0,4
32917,"No Majority",1,3.2917,0,0,1,0,1
33750,"No Majority",0,3.375,0,0,1,0,1
95250,"White",0,9.525,1,0,0,0,9
59669,"No Majority",1,5.9669,0,0,1,0,5
66774,"White",0,6.6774,1,0,0,0,6
91318,"White",0,9.1318,1,0,0,0,8
58750,"White",0,5.875,1,0,0,0,5
38263,"Hispanic/Latino",0,3.8263,0,0,0,1,2
71444,"Hispanic/Latino",0,7.1444,0,0,0,1,7
50764,"Hispanic/Latino",0,5.0764,0,0,0,1,4
32450,"Hispanic/Latino",0,3.245,0,0,0,1,1
64711,"Hispanic/Latino",0,6.4711,0,0,0,1,6
74597,"No Majority",1,7.4597,0,0,1,0,7
32411,"Hispanic/Latino",0,3.2411,0,0,0,1,1
42375,"Hispanic/Latino",0,4.2375,0,0,0,1,2
44512,"Hispanic/Latino",0,4.4512,0,0,0,1,3
32578,"Hispanic/Latino",0,3.2578,0,0,0,1,1
49167,"Hispanic/Latino",0,4.9167,0,0,0,1,3
74466,"No Majority",0,7.4466,0,0,1,0,7
59335,"White",1,5.9335,1,0,0,0,5
22229,"White",0,2.2229,1,0,0,0,1
34028,"Hispanic/Latino",0,3.4028,0,0,0,1,1
50065,"White",0,5.0065,1,0,0,0,4
53683,"White",0,5.3683,1,0,0,0,4
32716,"Hispanic/Latino",0,3.2716,0,0,0,1,1
22969,"No Majority",1,2.2969,0,0,1,0,1
44688,"White",0,4.4688,1,0,0,0,3
54883,"No Majority",0,5.4883,0,0,1,0,4
101346,"White",0,10.1346,1,0,0,0,9
61531,"Hispanic/Latino",1,6.1531,0,0,0,1,5
58486,"Hispanic/Latino",0,5.8486,0,0,0,1,5
48860,"White",1,4.886,1,0,0,0,3
50045,"Hispanic/Latino",0,5.0045,0,0,0,1,4
33571,"Hispanic/Latino",0,3.3571,0,0,0,1,1
64740,"White",0,6.474,1,0,0,0,6
104511,"White",0,10.4511,1,0,0,0,9
74813,"White",0,7.4813,1,0,0,0,7
