unique_id,race,race_imputed,imputation_probability,date,city,state,zip,county,agencies,highest_force,armed,weapon,aggressive,fleeing,intended_use_of_force,GEOID,NAME,IncomeE,IncomeM,Total_popE,Total_popM,NH_WhiteE,NH_WhiteM,NH_BlackE,NH_BlackM,NH_AsianE,NH_AsianM,Hisp_LatinoE,Hisp_LatinoM,income_tertile,income_quartile,income_quintiles,income_quintiles_nolab,income_sextile,income_septile,income_octile,income_nonile,income_decile,income_15_quant,income_ventile,income_50_quantiles,income_bins,income_bins_100,NH_WhiteP,NH_BlackP,NH_AsianP,Hisp_LatinoP,Majority
29397,Black,Black,NA,2020-12-29,Charleston,SC,29403,Charleston,Charleston Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,45019005400,"Census Tract 54, Charleston County, South Carolina",31071,3821,2689,838,412,125,2222,824,0,13,19,27,1,1,1st Quintile,1,1,1,1,1,1,1,2,4,14,7,0.1532168092227594,0.8263294905169208,0,0.007065823726292302,Black
29400,White,White,NA,2020-12-29,Modesto,CA,95358,Stanislaus,Modesto Police Department,Gunshot,Unarmed,None,Uncertain,Not fleeing,Deadly force,06099000601,"Census Tract 6.01, Stanislaus County, California",80867,13257,4520,623,1675,266,42,46,328,148,2239,578,3,3,4th Quintile,4,5,5,6,7,8,11,15,36,142,71,0.37057522123893805,0.009292035398230088,0.07256637168141593,0.49535398230088495,NA
29402,Black,Black,NA,2020-12-29,Highland,CA,92410,San Bernardino,San Bernardino Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,06071006304,"Census Tract 63.04, San Bernardino County, California",44458,21649,5833,1127,1331,937,108,111,331,284,4021,686,1,1,2nd Quintile,2,2,2,2,2,3,4,5,12,45,23,0.22818446768386766,0.01851534373392765,0.05674609977713012,0.6893536773529916,Hispanic/Latino
29383,Other/Unknown,White,0.970281,2020-12-28,Warrenton,OR,97146,Clatsop,Clatsop County Sheriff's Office,Gunshot,Armed,Firearm/Gun,Brandished weapon,Not fleeing,Deadly force,41007951300,"Census Tract 9513, Clatsop County, Oregon",81058,14130,2671,355,2476,342,15,34,0,13,97,76,3,3,4th Quintile,4,5,5,6,7,8,11,15,36,143,72,0.9269936353425683,0.005615874204417821,0,0.03631598652190191,White
29384,Hispanic/Latino,Hispanic/Latino,NA,2020-12-28,Brockton,MA,02301,Plymouth,Brockton Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,25023510501,"Census Tract 5105.01, Plymouth County, Massachusetts",75349,21787,3644,775,1039,219,1576,423,46,49,217,179,2,3,4th Quintile,4,4,5,6,6,7,10,14,33,132,66,0.2851262349066959,0.43249176728869376,0.012623490669593854,0.059549945115257956,NA
29385,Other/Unknown,Other/Unknown,NA,2020-12-28,Kaneohe,HI,96744,Honolulu,Honolulu Police Department,Gunshot,Unarmed,None,None/Police alleged vehicular assault,Fleeing/Vehicle,Deadly force,15003010305,"Census Tract 103.05, Honolulu County, Hawaii",118929,20394,5500,1034,1051,317,8,17,1365,355,630,322,3,4,5th Quintile,5,6,7,8,9,10,14,19,46,183,92,0.1910909090909091,0.0014545454545454545,0.24818181818181817,0.11454545454545455,NA
29386,Black,Black,NA,2020-12-28,Phoenix,AZ,85017,Maricopa,Phoenix Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,04013116900,"Census Tract 1169, Maricopa County, Arizona",41208,9290,2676,498,254,127,52,40,50,43,2294,492,1,1,1st Quintile,1,2,2,2,2,2,3,4,9,35,18,0.09491778774289986,0.01943198804185351,0.01868460388639761,0.8572496263079222,Hispanic/Latino
29387,Black,Black,NA,2020-12-28,Denver,CO,80220,Denver,Denver Police Department,Gunshot,Unarmed,None,Sudden threatening movement,Fleeing/Vehicle,Deadly force,08031004310,"Census Tract 43.10, Denver County, Colorado",127706,10742,2481,495,1956,516,109,149,41,47,270,223,3,4,5th Quintile,5,6,7,8,9,10,14,19,47,187,94,0.788391777509069,0.04393389762192664,0.01652559451833938,0.10882708585247884,White
29392,Other/Unknown,White,0.613431,2020-12-28,Phoenix,AZ,85017,Maricopa,Phoenix Police Department,Gunshot,Unarmed,None,Sudden threatening movement,Not fleeing,Deadly force,04013106900,"Census Tract 1069, Maricopa County, Arizona",60360,16986,8708,1429,2227,945,20,34,448,296,5722,1312,2,2,3rd Quintile,3,3,4,4,5,5,8,10,24,94,47,0.2557418465778594,0.0022967386311437757,0.05144694533762058,0.6570969223702343,Hispanic/Latino
29393,Other/Unknown,Other/Unknown,NA,2020-12-28,Holyoke,CO,80734,Phillips,Holyoke Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Fleeing/Vehicle,Deadly force,08095967600,"Census Tract 9676, Phillips County, Colorado",49526,6329,3133,165,1900,218,0,12,13,19,1220,247,1,2,2nd Quintile,2,2,3,3,3,3,5,6,15,60,30,0.6064474944142993,0,0.004149377593360996,0.3894031279923396,White
29394,Other/Unknown,Other/Unknown,NA,2020-12-28,Hesperia,CA,92345,San Bernardino,San Bernardino County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Sudden threatening movement,Not fleeing,Deadly force,06071010019,"Census Tract 100.19, San Bernardino County, California",53333,7452,4738,659,1673,460,71,91,171,133,2734,460,2,2,2nd Quintile,2,3,3,3,4,4,6,8,19,73,37,0.3531025749261292,0.0149852258336851,0.036091177712114814,0.5770367243562685,Hispanic/Latino
29379,White,White,NA,2020-12-27,Lewiston,ID,83501,Nez Perce,Lewiston Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,16069961000,"Census Tract 9610, Nez Perce County, Idaho",78171,12291,5736,646,5373,639,0,17,32,44,220,159,3,3,4th Quintile,4,5,5,6,7,7,11,14,35,137,69,0.9367154811715481,0,0.005578800557880056,0.038354253835425386,White
29380,Black,Black,NA,2020-12-27,Davisboro,GA,31018,Washington,Georgia Department of Corrections,Gunshot,Armed,Firearm/Gun,Used weapon,Fleeing/Foot,Deadly force,13303950500,"Census Tract 9505, Washington County, Georgia",41021,8266,5551,512,2591,298,2484,391,5,11,322,105,1,1,1st Quintile,1,2,2,2,2,2,3,4,9,35,18,0.46676274545127006,0.447486939290218,9.007386056566384e-4,0.058007566204287514,NA
29378,Black,Black,NA,2020-12-26,Hartford,CT,06114,Hartford,Hartford Police Department,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,09003502400,"Census Tract 5024, Hartford County, Connecticut",36714,14472,5698,1083,756,370,680,259,2,24,4166,1128,1,1,1st Quintile,1,1,1,1,2,2,2,3,6,24,12,0.13267813267813267,0.11934011934011934,3.51000351000351e-4,0.7311337311337311,Hispanic/Latino
29369,Black,Black,NA,2020-12-25,Houston,TX,77032,Harris,Harris County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,48201222702,"Census Tract 2227.02, Harris County, Texas",28459,13891,4035,857,113,80,2772,442,0,14,763,478,1,1,1st Quintile,1,1,1,1,1,1,1,1,3,10,5,0.028004956629491946,0.6869888475836431,0,0.18909541511771996,Black
29366,Hispanic/Latino,Hispanic/Latino,NA,2020-12-25,Philadelphia,PA,19134,Philadelphia,Philadelphia Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,No,42101018801,"Census Tract 188.01, Philadelphia County, Pennsylvania",19409,6682,3972,939,602,386,289,167,0,11,3080,944,1,1,1st Quintile,1,1,1,1,1,1,1,1,1,3,2,0.1515609264853978,0.07275931520644512,0,0.7754279959718026,Hispanic/Latino
29367,Hispanic/Latino,Hispanic/Latino,NA,2020-12-25,Philadelphia,PA,19134,Philadelphia,Philadelphia Police Department,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,42101018801,"Census Tract 188.01, Philadelphia County, Pennsylvania",19409,6682,3972,939,602,386,289,167,0,11,3080,944,1,1,1st Quintile,1,1,1,1,1,1,1,1,1,3,2,0.1515609264853978,0.07275931520644512,0,0.7754279959718026,Hispanic/Latino
29370,Hispanic/Latino,Hispanic/Latino,NA,2020-12-25,Rio Rico,AZ,85648,Santa Cruz,Santa Cruz County Sheriff's Office,Gunshot,Armed,Vehicle,Intentional vehicular assault,Not fleeing,Deadly force,04023966110,"Census Tract 9661.10, Santa Cruz County, Arizona",84162,13507,2910,970,195,153,0,13,0,13,2715,956,3,3,4th Quintile,4,5,6,6,7,8,12,15,37,148,74,0.06701030927835051,0,0,0.9329896907216495,Hispanic/Latino
29361,Other/Unknown,Black,0.648259,2020-12-24,Oakland,TN,38060,Fayette,Oakland Police Department,Gunshot,Armed,Edged weapon/Knives,Used weapon,Not fleeing,Deadly force,47047060402,"Census Tract 604.02, Fayette County, Tennessee",72929,18053,4122,496,2830,328,1118,371,0,13,52,70,2,3,4th Quintile,4,4,5,6,6,7,10,13,32,127,64,0.6865599223677826,0.2712275594371664,0,0.012615235322658904,White
29364,White,White,NA,2020-12-24,Redding,CA,96003,Shasta,Redding Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,06089010803,"Census Tract 108.03, Shasta County, California",48403,11949,5799,761,4265,662,171,221,534,359,719,347,1,2,2nd Quintile,2,2,2,3,3,3,5,6,14,56,28,0.7354716330401794,0.029487842731505433,0.09208484221417486,0.12398689429211933,White
29359,White,White,NA,2020-12-23,Dalton,NH,03598,Coos,New Hampshire State Police,Gunshot,Armed,Firearm/Uncertain,Used weapon,Not fleeing,Deadly force,33007951100,"Census Tract 9511, Coos County, New Hampshire",51687,4389,3173,359,3061,343,19,24,30,35,20,33,1,2,2nd Quintile,2,2,3,3,3,4,5,7,17,67,34,0.9647021745981721,0.005988023952095809,0.009454774661203908,0.006303183107469272,White
29668,Other/Unknown,Other/Unknown,NA,2020-12-23,Antioch,CA,94509,Contra Costa,Antioch Police Department,Asphyxiated/Restrained,Unarmed,None,None,Not fleeing,Less-than-lethal force,06013305000,"Census Tract 3050, Contra Costa County, California",43974,11251,6078,1066,1477,372,909,379,560,511,2771,880,1,1,2nd Quintile,2,2,2,2,2,3,4,5,11,43,22,0.24300756827903916,0.14955577492596248,0.09213557091148404,0.45590654820664694,NA
29348,Black,Black,NA,2020-12-22,Columbus,OH,43221,Franklin,Columbus Police Department,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,39049007811,"Census Tract 78.11, Franklin County, Ohio",69556,11414,4217,716,3487,716,297,238,162,85,86,71,2,3,3rd Quintile,3,4,5,5,6,6,9,12,30,119,60,0.826891154849419,0.07042921508181171,0.03841593549917002,0.020393644771164336,White
29351,Hispanic/Latino,Hispanic/Latino,NA,2020-12-22,Glendale,AZ,85301,Maricopa,Glendale Police Department,Gunshot,Armed,Blunt object/Metal bar,Advanced toward officer(s),Not fleeing,Deadly force,04013092600,"Census Tract 926, Maricopa County, Arizona",35000,11166,2994,680,1111,393,227,187,27,32,1610,459,1,1,1st Quintile,1,1,1,1,1,2,2,3,6,21,11,0.3710754843019372,0.0758183032732131,0.009018036072144289,0.5377421509686039,Hispanic/Latino
29353,White,White,NA,2020-12-22,Joliet,IL,60433,Will,Joliet Police Department,Gunshot,Armed,Firearm/Pellet gun,Brandished weapon,Not fleeing,Deadly force,17197882400,"Census Tract 8824, Will County, Illinois",48165,6867,4128,667,378,164,1176,312,0,12,2471,597,1,2,2nd Quintile,2,2,2,3,3,3,5,6,14,56,28,0.09156976744186046,0.28488372093023256,0,0.5985949612403101,Hispanic/Latino
29345,Black,Black,NA,2020-12-21,Mobile,AL,36609,Mobile,Prichard Police Department,Gunshot,Uncertain,Uncertain,Uncertain,Uncertain,Deadly force,01097003207,"Census Tract 32.07, Mobile County, Alabama",31808,5813,2816,613,1238,416,967,359,148,119,355,273,1,1,1st Quintile,1,1,1,1,1,1,2,2,4,15,8,0.4396306818181818,0.34339488636363635,0.052556818181818184,0.1260653409090909,NA
29347,White,White,NA,2020-12-21,Wichita,KS,67206,Sedgwick,Wichita Police Department,Gunshot,Unarmed,None,None,Fleeing/Vehicle,Deadly force,20173007301,"Census Tract 73.01, Sedgwick County, Kansas",103929,24582,3784,307,3163,307,185,125,229,146,119,96,3,4,5th Quintile,5,6,6,7,8,9,13,18,43,172,86,0.8358879492600423,0.048890063424947144,0.06051797040169133,0.03144820295983087,White
29342,White,White,NA,2020-12-20,Standish,ME,04084,Cumberland,Gorham Police Department,Gunshot,Unarmed,None,None,Fleeing/Vehicle,Pursuit,23005017004,"Census Tract 170.04, Cumberland County, Maine",66773,13441,3521,465,3489,448,31,50,0,11,0,11,2,3,3rd Quintile,3,4,4,5,6,6,9,12,28,112,56,0.9909116728202215,0.008804316955410394,0,0,White
29343,White,White,NA,2020-12-20,Anchorage,AK,99508,Anchorage,Anchorage Police Department,Gunshot,Unarmed,None,Sudden threatening movement,Fleeing/Foot,Deadly force,02020000802,"Census Tract 8.02, Anchorage Municipality, Alaska",66859,6647,4596,623,1828,289,455,306,623,332,478,251,2,3,3rd Quintile,3,4,4,5,6,6,9,12,28,112,56,0.3977371627502176,0.09899912967798086,0.1355526544821584,0.10400348128807659,NA
29341,Hispanic/Latino,Hispanic/Latino,NA,2020-12-19,Lennox,CA,90304,Los Angeles,Los Angeles County Sheriff's Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,06037601801,"Census Tract 6018.01, Los Angeles County, California",41890,7277,2793,377,5,7,71,57,96,105,2607,353,1,1,1st Quintile,1,2,2,2,2,2,3,4,10,37,19,0.0017901897601145722,0.025420694593626926,0.034371643394199784,0.9334049409237379,Hispanic/Latino
29334,White,White,NA,2020-12-18,Oshtemo Township,MI,49009,Kalamazoo,Kalamazoo County Sheriff's Office,Gunshot,Armed,Edged weapon/Knife,Brandished weapon,Not fleeing,Deadly force,26077002908,"Census Tract 29.08, Kalamazoo County, Michigan",130109,26988,4841,495,3905,401,305,160,226,149,134,134,3,4,5th Quintile,5,6,7,8,9,10,15,19,47,188,94,0.8066515182813468,0.06300351167114232,0.04668456930386284,0.027680231357157612,White
29335,Black,Black,NA,2020-12-18,Chicago,IL,60651,Cook,Chicago Police Department,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,17031250700,"Census Tract 2507, Cook County, Illinois",45970,13753,5430,971,0,17,4060,961,0,17,1093,510,1,1,2nd Quintile,2,2,2,2,3,3,4,5,13,49,25,0,0.7476979742173112,0,0.2012891344383057,Black
29336,White,White,NA,2020-12-18,Jefferson,ME,04348,Lincoln,Lincoln County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,23015975100,"Census Tract 9751, Lincoln County, Maine",60972,3930,5262,373,4860,345,39,41,67,43,39,31,2,2,3rd Quintile,3,3,4,4,5,5,8,10,24,96,48,0.9236031927023945,0.007411630558722919,0.012732801216267579,0.007411630558722919,White
29337,Hispanic/Latino,Hispanic/Latino,NA,2020-12-18,Nampa,ID,83687,Canyon,Nampa Police Department,Gunshot,Armed,Edged weapon/Knife,Used weapon,Not fleeing,Deadly force,16027020200,"Census Tract 202, Canyon County, Idaho",29202,8776,5108,771,2435,509,6,11,0,17,2593,648,1,1,1st Quintile,1,1,1,1,1,1,1,2,3,11,6,0.47670321064996085,0.0011746280344557558,0,0.5076350822239624,Hispanic/Latino
29338,Other/Unknown,Other/Unknown,NA,2020-12-18,Bakersfield,CA,93313,Kern,Bakersfield Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Fleeing/Foot,Deadly force,06029003211,"Census Tract 32.11, Kern County, California",101317,12171,4836,1521,982,1207,837,576,814,226,2162,278,3,4,5th Quintile,5,6,6,7,8,9,13,17,43,169,85,0.20306038047973532,0.17307692307692307,0.16832092638544252,0.44706368899917287,NA
29339,Other/Unknown,Other/Unknown,NA,2020-12-18,Lucerne Valley,CA,92356,San Bernardino,San Bernardino County Sheriff's Office,Gunshot,Armed,Edged weapon/Knife,None,Fleeing/Vehicle,Deadly force,06071012103,"Census Tract 121.03, San Bernardino County, California",37109,6112,3196,714,1995,452,54,60,83,77,892,524,1,1,1st Quintile,1,1,1,1,2,2,2,3,7,25,13,0.6242177722152691,0.016896120150187734,0.025969962453066334,0.27909887359199,White
29328,White,White,NA,2020-12-17,Daytona Beach,FL,32114,Volusia,Daytona Beach Police Department,Gunshot,Armed,Edged weapon/Glass shard,Advanced toward officer(s),Not fleeing,Deadly force,12127082302,"Census Tract 823.02, Volusia County, Florida",41657,4931,3404,859,1794,740,1135,448,17,26,271,176,1,1,1st Quintile,1,2,2,2,2,2,3,4,10,37,19,0.527027027027027,0.33343125734430085,0.00499412455934195,0.07961222091656875,White
29329,Black,Black,NA,2020-12-17,Smyrna,GA,30082,Cobb,Cobb County Sheriff's Office,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,13067031117,"Census Tract 311.17, Cobb County, Georgia",101385,17149,6123,768,3475,450,1211,570,280,304,676,433,3,4,5th Quintile,5,6,6,7,8,9,13,17,43,169,85,0.5675322554303446,0.1977788665686755,0.04572921770374,0.11040339702760085,White
29330,White,White,NA,2020-12-17,Sevierville,TN,37862,Sevier,Sevierville Police Department,Gunshot,Uncertain,Uncertain,Uncertain,Fleeing/Vehicle,Deadly force,47155080804,"Census Tract 808.04, Sevier County, Tennessee",36532,2832,2509,322,2172,353,0,13,27,46,250,160,1,1,1st Quintile,1,1,1,1,2,2,2,3,6,24,12,0.8656835392586688,0,0.010761259465922678,0.0996412913511359,White
29332,Other/Unknown,White,0.964588,2020-12-17,Auburn,WA,98002,King,Auburn Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Fleeing/Foot,Deadly force,53033030600,"Census Tract 306, King County, Washington",70901,11842,5951,997,3800,721,152,160,330,150,819,565,2,3,4th Quintile,4,4,5,5,6,7,10,13,31,122,61,0.6385481431692153,0.02554192572676861,0.05545286506469501,0.13762392875147034,White
29324,White,White,NA,2020-12-16,Orlando,FL,32814,Orange,Orlando Police Department,Gunshot,Armed,Firearm/Gun,Brandished weapon,Not fleeing,Deadly force,12095018202,"Census Tract 182.02, Orange County, Florida",102621,24538,4036,803,1991,541,196,312,414,398,1041,546,3,4,5th Quintile,5,6,6,7,8,9,13,17,43,170,85,0.4933102081268583,0.048562933597621406,0.10257680872150644,0.2579286422200198,NA
29325,White,White,NA,2020-12-16,Deming,NM,88030,Luna,U.S. Customs and Border Protection,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,35029000500,"Census Tract 5, Luna County, New Mexico",34219,10474,4427,731,1359,282,16,27,22,25,2993,664,1,1,1st Quintile,1,1,1,1,1,1,2,2,5,19,10,0.30697989609216175,0.0036141856787892477,0.004969505308335216,0.6760786085385136,Hispanic/Latino
29326,Black,Black,NA,2020-12-16,Concord Mills,NC,28027,Cabarrus,Concord Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Fleeing/Vehicle,Deadly force,37025042602,"Census Tract 426.02, Cabarrus County, North Carolina",63413,10795,3712,553,2081,366,646,149,143,155,760,457,2,3,3rd Quintile,3,4,4,5,5,6,8,11,26,103,52,0.560614224137931,0.1740301724137931,0.038523706896551727,0.20474137931034483,White
29321,White,White,NA,2020-12-15,Pearland,TX,77584,Brazoria,Pearland Police Department,Gunshot,Armed,Firearm/Pellet gun,Brandished weapon,Not fleeing,Deadly force,48039660609,"Census Tract 6606.09, Brazoria County, Texas",108448,32978,5067,903,1680,571,1494,672,658,618,794,663,3,4,5th Quintile,5,6,7,8,8,9,14,18,44,176,88,0.3315571343990527,0.29484902309058614,0.12985987763962897,0.15670021709098086,NA
29317,White,White,NA,2020-12-15,Greenfield,IN,46140,Hancock,Greenfield Police Department,Tasered,Unarmed,None,None,Fleeing/Foot,Less-than-lethal force,18059410301,"Census Tract 4103.01, Hancock County, Indiana",69399,15631,4411,588,4081,569,0,12,14,20,166,274,2,3,3rd Quintile,3,4,5,5,6,6,9,12,30,118,59,0.9251870324189526,0,0.0031738834731353436,0.037633189752890504,White
29319,Other/Unknown,Other/Unknown,NA,2020-12-15,Jurupa Valley,CA,92509,Riverside,Riverside County Sheriff's Department,Tasered,Unarmed,None,Struggled,Not fleeing,Less-than-lethal force,06065040204,"Census Tract 402.04, Riverside County, California",37279,3493,3658,421,249,163,156,139,0,13,3220,434,1,1,1st Quintile,1,1,1,2,2,2,2,3,7,26,13,0.06806998359759431,0.04264625478403499,0,0.8802624384909786,Hispanic/Latino
29323,Hispanic/Latino,Hispanic/Latino,NA,2020-12-15,Kennewick,WA,99337,Benton,Kennewick Police Department,Asphyxiated/Restrained,Unarmed,None,None,Not fleeing,Less-than-lethal force,53005011505,"Census Tract 115.05, Benton County, Washington",68889,15804,4057,554,2829,391,27,38,181,161,778,361,2,3,3rd Quintile,3,4,5,5,6,6,9,12,30,117,59,0.6973132856790732,0.006655163914222332,0.04461424698052748,0.19176731575055458,White
29458,Other/Unknown,Other/Unknown,NA,2020-12-15,Glenpool,OK,74033,Tulsa,Glenpool Police Department,Gunshot,Armed,Edged weapon/Butcher knife,Advanced toward officer(s),Not fleeing,Deadly force,40143007705,"Census Tract 77.05, Tulsa County, Oklahoma",94028,6614,2613,421,1865,267,0,10,0,10,125,135,3,4,5th Quintile,5,5,6,7,8,9,13,17,41,161,81,0.7137389973210869,0,0,0.04783773440489859,White
29316,White,White,NA,2020-12-14,Houston,TX,77034,Harris,Pasadena Police Department,Gunshot,Armed,Firearm/Gun,Brandished weapon,Fleeing/Vehicle,Deadly force,48201321101,"Census Tract 3211.01, Harris County, Texas",68108,12128,3939,386,635,421,1283,435,267,304,1646,441,2,3,3rd Quintile,3,4,5,5,6,6,9,12,29,116,58,0.1612084285351612,0.3257171871033257,0.06778370144706779,0.41787255648641786,NA
29457,Other/Unknown,Other/Unknown,NA,2020-12-14,Farmington,NM,87401,San Juan,"Farmington Police Department, New Mexico State Police, San Juan County Sheriff's Office",Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,35045000402,"Census Tract 4.02, San Juan County, New Mexico",38816,10376,4368,923,1117,365,20,31,3,6,1286,727,1,1,1st Quintile,1,1,2,2,2,2,3,3,8,29,15,0.2557234432234432,0.004578754578754579,6.868131868131869e-4,0.2944139194139194,NA
29312,Hispanic/Latino,Hispanic/Latino,NA,2020-12-13,Sacramento,CA,95834,Sacramento,Sacramento Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,06067007016,"Census Tract 70.16, Sacramento County, California",75392,13336,5312,443,1795,432,733,324,1875,206,686,289,2,3,4th Quintile,4,4,5,6,6,7,10,14,33,132,66,0.33791415662650603,0.1379894578313253,0.3529743975903614,0.12914156626506024,NA
